name,label,description,source,note,type,values,value_labels
hos,Hospital identification number,Random number unique for each hospital,Assigned during de-identification,,qualitative,"""6273"" ""7215"" ""7842"" ""8264""",
pid,Patient identification number,Random number unique for each patient,Assigned during de-identification,,qualitative,,
do,Directly observed,Describes whether the patient was enrolled during the project officer's shift,Assigned by project officer,,qualitative,"""No"" ""Yes""",
incl,Inclusion criterion used,The inclusion criterion used to enroll the patient,Assigned by project officer,,qualitative,"""0"" ""1"" ""2"" ""3""","""NA"" ""Admitted with history of any of the specified mechanism of injury"" ""History of any of the below specified injury mechanisms but died between arrival and admission"" ""Admitted with potentially life-threatening injury as assessed by treating physician"""
age,Age in years,Patient's age rounded up to closest whole year,"Recorded by project officer from patient record, health care staff, or by asking the patient or any of his/her relatives",,quantitative,,
sex,Sex,Patient's sex,"Recorded by project officer from patient record, health care staff, or by asking the patient or any of his/her relatives",,qualitative,"""Female"" ""Male""",
tran,Transferred from other health facility,Describes whether the patient was transferred from another health facility before being admitted to the participating hospital,"Recorded by project officer from patient record, health care staff, or by asking the patient or any of his/her relatives",,qualitative,"""No"" ""Yes""",
doi,Date of injury,The date when the injury occured in Y-M-D format,Recorded by project officer from patient record or by asking the patient or any of his/her relatives,,date,,
toi,Time of injury,"The time when the injury occured in HH:MM format, rounded to closest 10 minutes",Recorded by project officer from patient record or by asking the patient or any of his/her relatives,,time,,
doar,Date of arrival,The date when the patient arrived to participating hospital in Y-M-D format,Recorded by project officer from patient record or by asking the patient or any of his/her relatives,,date,,
toar,Time of arrival,"The time when the patient arrived to participating hospital in HH:MM format, rounded to closest 10 minutes",Recorded by project officer from patient record or by asking the patient or any of his/her relatives,,time,,
doa,Date of admission,The date when the patient was admitted in participating hospital in Y-M-D format,Recorded by project officer from patient record,"This is an administrative timing, i.e. the date is the date printed on the patient record. The patient may however have been admitted before this timing was printed.",date,,
toa,Time of admission,"The time when the patient was admitted in participating hospital in HH:MM format, rounded to closest 10 minutes",Recorded by project officer from patient record,"This is an administrative timing, i.e. the date is the date printed on the patient record. The patient may however have been admitted before this timing was printed.",time,,
moi,Mechanism of injury,The mechanism of injury,"Recorded by project officer from patient record, health care staff, or by asking the patient or any of his/her relatives",The subcategories of Road traffic injury was applied differently across hospitals why we highly recommended to carefully inspect the data before placing to much emphasis on the subcategories. An alternative approach may be to collate the subcategories into a single Road traffic injury category,qualitative,"""Assault"" ""Burn"" ""Fall"" ""Other"" ""Railway injury"" ""Road traffic injury (bicyclist)"" ""Road traffic injury (driver)"" ""Road traffic injury (motorcyclist)"" ""Road traffic injury (passenger)"" ""Road traffic injury (pedestrian)"" ""Road traffic injury (unspecified)""",
mot,Mode of transport,Describes how the patient was transported to participating hospital,"Recorded by project officer from patient record, health care staff, or by asking the patient or any of his/her relatives",,qualitative,"""Ambulance"" ""Carried by man"" ""Other"" ""Police"" ""Private car"" ""Taxi, motor rickshaw""",
ti,Type of injury,Describes whether the injury was blund or penetrating,Recorded by project officer from patient record or by asking the health care staff,,qualitative,"""Blunt"" ""Penetrating""",
